protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all
DSC2	-0.356234116052875	16.625325611921	12.9297734373134	-1.27023183586261	18.5348284997838	13.4294002514033	-0.875074795007831	17.8753985528956	13.4231159371219
DSC3	-14.2995850001923	21.2615564729208	17.1880623135883	-13.024459065581	21.4727075206491	16.2630213343605	-20.1928827156916	21.6807907896556	17.1505131863728
DSCAM	-22.3879462555021	21.9832453096932	17.8012116072733	-12.6747088660597	21.3832817676813	16.5595441020766	-26.1227964549131	21.6777493779939	17.2958838575607
DSG1	-25.0806696379095	21.8548636852853	17.4953676931407	-45.1722821565163	21.7369227196809	17.0242224014458	-84.4647252713493	22.0922576827981	17.6584738390739
DUSP3	-3.62884607797218	20.3971426921808	16.887906289954	-12.7329553593319	21.4293782379132	16.8737144528236	-8.49571072513445	21.2067870781949	17.1090320473411
DYNLL1	-18.174398332164	21.560291081516	17.2831261493827	-51.5110348668687	22.0813696409665	17.0766290252493	-25.9935939852631	21.9966489464027	17.3191346529794
DYNLRB1	-10.0271608777453	21.1731004976668	17.38784474296	-10.2099538131931	20.7917146260898	15.8813395651179	-18.6489559974197	21.5885017828034	17.1468181240798
DYRK3	-10.1965575697905	21.0458563873265	17.2061725064343	-15.0115915840094	21.267076028766	16.6219468135191	-15.7763831305854	21.2757202819734	17.0250950434759
ECE1	-5.13227072931843	20.7067162905102	16.4100475967082	-5.08232966431876	22.0351845443276	16.3632700232453	-14.6693595214849	22.0781887320762	17.2856158748837
ECM1	-1.72627548538682	18.3070398582488	14.9189251293894	-3.95210725698479	19.9351962916063	16.035447025158	-3.59337307765596	19.5503537897377	16.0602493880222
EDA	-6.68119095835465	22.3028893536539	16.7721789274085	-6.66595662980043	21.5552767916912	16.0668927952963	-6.78465412871165	22.0869901710318	16.847591896089
EDA2R	0.34916056584876	14.2931584272415	10.3283444646698	-0.0611451641217131	15.7764668248508	12.5450721772039	0.168208207050399	15.3491884887517	11.6394581560453
EDAR	-24.0876936435533	22.2897610274875	17.6549321624053	-8.46516750883271	21.489813187915	16.568694492815	-11.1454899487655	21.8877476143625	17.1370109236198
EEF1B2	-3.73650801952925	20.6650440797107	16.0389051460955	-7.92021638642723	21.3154659135416	16.8511778391967	-10.4614172557141	21.3623533218208	16.9442674169765
EFEMP1	0.597897367891304	11.888310194005	9.11655839934295	0.0500058869369373	15.1581187589879	10.8848589342178	0.438483252130626	13.4979866121732	10.0038623318411
EFNA2	-0.54322027487762	17.6701827929756	13.4300028420463	-2.26629434847473	19.5705291883785	14.7738253580626	-1.35344093212441	19.0896358821684	14.2602252885161
EFNA3	-9.3883360196866	22.1823970156763	17.0929288014368	-5.93728678608547	20.8301969225729	16.3274127353192	-12.1340977675192	21.5344423321145	16.9145089439764
EFNA4	-0.13747011226927	15.968398079375	12.6941652250332	-1.40291076389598	19.68053810147	14.2323817670915	-0.586387457591535	18.2005557733606	13.5868832016657
EFNA5	-2.36242665441996	19.9223482872713	14.7986043952814	-1.78668376369098	20.1178832678851	14.3526582292412	-1.77842285322777	20.4588252740065	15.1935407584715
EFNB1	-0.224645686639821	16.3025862154731	12.8983908758825	-0.623327667951057	17.3748312735607	12.8422952612503	-0.420418986729146	17.2456420675097	13.2660569423878
EFNB2	-4.20484475781667	21.6777029099171	16.1873019686837	-14.0925193649272	21.4363320263659	16.7072975261529	-8.242212604652	21.4983664505815	16.6029836674727
EFNB3	-1.65485289002313	19.0964434418674	14.4794822833198	-6.35324729979324	20.625600565141	15.9553821325594	-2.46615878906781	20.5080244623293	15.5329596561244
EGF	-0.87633406313537	17.7221237888381	13.9976913191735	-5.11065803031427	19.8835494384825	15.1972494844797	-2.00266801655225	19.1827778138259	15.1828673316939
EGFR	-0.125876725798123	15.4243722177195	11.2383564089585	-0.488235717176719	16.8429328853137	11.7576770837929	-0.359472122680138	16.4655265887736	11.7490039458973
EGFR.1	-15.4639102277675	21.4228928201128	17.3017660951253	-11.2148211588097	21.2200620043828	16.4119908260885	-33.722860288528	21.7101996371178	17.4177129726507
EHMT2	-7.12957103673442	20.7262617897209	16.317124532473	-3.99254068420976	21.8880564392296	15.7189107554237	-7.81592459685476	21.4359258239674	16.4740583147695
EIF4A3	-2.87681110792965	19.6801634809342	16.7038418576953	-4.22507035944856	19.4222790588652	15.2528588147395	-3.22010917985806	19.5623521605133	16.1229159463636
EIF4EBP2	-4.56701854043301	19.8071020875248	15.9813537962882	-7.13235218444071	20.3248531398533	16.4582379204924	-6.01975480363198	20.1364529515456	16.3085308860812
EIF4G2	-6.47879202682943	21.5415089734418	17.3644825545491	-10.8211674013478	21.0674924410039	16.4737228930212	-14.9889027399698	21.7616695782491	17.4034247137467
EIF4H	-4.31807887585466	20.9824937073298	16.2367178073302	-19.8731856011663	21.5716672521138	16.7217408669818	-11.1153646526731	21.885134821297	17.2540175572222
EIF5	-126.162079285617	22.1908027942343	18.0051095988962	-9.71439103781036	21.1448390550174	16.7668102276442	-23.3699722612596	21.608292106346	17.5419953332543
EIF5A	-9.25451611252388	21.7449634390932	17.0597958297831	-4.18492590278198	20.6723835097815	15.7807101199987	-7.21954403519595	21.5605164678484	16.8506812311643
ELANE	-1.76913490171576	19.2168199041626	15.7268980514531	-13.6065363398073	20.8356168109049	16.3927871425666	-5.08421218849357	20.2494354696566	16.454039885598
ENG	-1.11069623384347	18.1919645082623	15.2860727117659	-4.14074546818776	19.6273868739036	15.8629133854848	-2.0131722834937	19.1556269489588	15.8417013289571
ENO1	-5.01319000840871	20.9447460151585	16.7337483094479	-6.61317728812615	21.5295794758052	16.2418970999152	-24.8878093519393	21.8278276305127	17.5107728821741
ENO2	-0.467179492929219	18.3573323521843	14.2726451554866	-47.6109435644309	21.9967716584442	17.1417432569191	-3.23627914193284	20.683620706106	16.2351491006402
ENPP7	-95.3059321688775	22.1554797933141	17.889935362413	-10.2327434043536	20.6717686957475	16.2430076530844	-16.191394356905	21.6033526237319	17.4494191910225
ENTPD1	-23.2037132453861	21.9215541956816	17.3199371081805	-9.15279353879311	21.5977558041729	15.8821959477014	-38.4828434853048	22.1048725822317	17.3751494096378
ENTPD3	-45.4683705211997	22.0024395781385	17.7685348321322	-34.8229716665314	21.740052034624	16.8224532342856	-48.5445020665925	22.0149462167043	17.5978159797143
ENTPD5	-8.33907225593583	21.0309766389304	16.6023688782869	-20.6907867696669	22.0240036551309	16.7960856638774	-14.6285136462771	21.9198827294256	16.9821011442174
EPB41	-80.1341622290514	22.1724780507106	17.9574403251171	-26.1458888892316	21.7317402135663	17.008491414747	-51.8910402946168	22.0300698765153	17.6237860684428
EPHA1	-63.3659894977827	22.2451075270605	17.9014224854538	-13.5713829390404	21.9337490569674	16.6327534587106	-40.9770717527611	22.3011229821429	17.519520066551
